case_id,expected_priority,expected_action,notes
C-03470,P0,Immediate escalation,synthetic gold; risk=0.82
C-19557,P0,Immediate escalation,synthetic gold; risk=1.00
C-03560,P0,Immediate escalation,synthetic gold; risk=0.80
C-04657,P0,Immediate escalation,synthetic gold; risk=0.85
C-00796,P0,Immediate escalation,synthetic gold; risk=0.94
C-09848,P0,Immediate escalation,synthetic gold; risk=0.86
C-01628,P0,Immediate escalation,synthetic gold; risk=0.85
C-02183,P0,Immediate escalation,synthetic gold; risk=0.90
C-19227,P0,Immediate escalation,synthetic gold; risk=0.86
C-10731,P0,Immediate escalation,synthetic gold; risk=0.83
C-10102,P0,Immediate escalation,synthetic gold; risk=0.85
C-09460,P0,Immediate escalation,synthetic gold; risk=0.92
C-01253,P0,Immediate escalation,synthetic gold; risk=0.92
C-05030,P0,Immediate escalation,synthetic gold; risk=0.88
C-13405,P0,Immediate escalation,synthetic gold; risk=0.83
C-10343,P0,Immediate escalation,synthetic gold; risk=0.93
C-02568,P0,Immediate escalation,synthetic gold; risk=0.84
C-18541,P0,Immediate escalation,synthetic gold; risk=0.95
C-06679,P0,Immediate escalation,synthetic gold; risk=0.82
C-09875,P0,Immediate escalation,synthetic gold; risk=1.00
C-02875,P0,Immediate escalation,synthetic gold; risk=0.85
C-17171,P0,Immediate escalation,synthetic gold; risk=0.91
C-10838,P0,Escalate for investigation,synthetic gold; risk=0.82
C-17224,P0,Immediate escalation,synthetic gold; risk=0.85
C-03568,P0,Immediate escalation,synthetic gold; risk=0.89
C-08066,P0,Immediate escalation,synthetic gold; risk=1.00
C-10144,P0,Immediate escalation,synthetic gold; risk=0.86
C-13167,P0,Immediate escalation,synthetic gold; risk=0.82
C-00289,P0,Immediate escalation,synthetic gold; risk=0.91
C-01000,P0,Immediate escalation,synthetic gold; risk=0.84
C-09468,P0,Immediate escalation,synthetic gold; risk=0.88
C-13440,P0,Immediate escalation,synthetic gold; risk=1.00
C-11242,P0,Immediate escalation,synthetic gold; risk=0.89
C-19474,P0,Escalate for investigation,synthetic gold; risk=0.96
C-03321,P0,Immediate escalation,synthetic gold; risk=0.87
C-20000,P0,Immediate escalation,synthetic gold; risk=1.00
C-09160,P0,Immediate escalation,synthetic gold; risk=0.92
C-17028,P0,Immediate escalation,synthetic gold; risk=0.89
C-08681,P0,Immediate escalation,synthetic gold; risk=0.89
C-12663,P0,Immediate escalation,synthetic gold; risk=0.84
C-19799,P1,Route to legal review,synthetic gold; risk=0.64
C-04571,P1,Escalate for investigation,synthetic gold; risk=0.66
C-02467,P1,Escalate for coverage review,synthetic gold; risk=0.80
C-10116,P1,Escalate for investigation,synthetic gold; risk=0.78
C-07101,P1,Escalate for coverage review,synthetic gold; risk=0.77
C-16335,P1,Route to legal review,synthetic gold; risk=0.73
C-08251,P1,Escalate for investigation,synthetic gold; risk=0.75
C-04146,P1,Escalate for coverage review,synthetic gold; risk=0.76
C-15368,P1,Escalate for investigation,synthetic gold; risk=0.73
C-08799,P1,Escalate for investigation,synthetic gold; risk=0.66
C-05062,P1,Route to legal review,synthetic gold; risk=0.62
C-02914,P1,Escalate for investigation,synthetic gold; risk=0.63
C-11652,P1,Escalate for investigation,synthetic gold; risk=0.77
C-07583,P1,Escalate for investigation,synthetic gold; risk=0.67
C-05122,P1,Escalate for investigation,synthetic gold; risk=0.66
C-03208,P1,Route to legal review,synthetic gold; risk=0.71
C-01838,P1,Escalate for investigation,synthetic gold; risk=0.75
C-08426,P1,Escalate for investigation,synthetic gold; risk=0.63
C-07499,P1,Escalate for coverage review,synthetic gold; risk=0.70
C-11926,P1,Escalate for investigation,synthetic gold; risk=0.75
C-14592,P1,Escalate for investigation,synthetic gold; risk=0.73
C-17360,P1,Escalate for investigation,synthetic gold; risk=0.75
C-09634,P1,Escalate for investigation,synthetic gold; risk=0.68
C-14765,P1,Escalate for investigation,synthetic gold; risk=0.74
C-03691,P1,Escalate for investigation,synthetic gold; risk=0.78
C-10205,P1,Escalate for investigation,synthetic gold; risk=0.74
C-01002,P1,Escalate for coverage review,synthetic gold; risk=0.63
C-03240,P1,Escalate for investigation,synthetic gold; risk=0.63
C-08279,P1,Escalate for investigation,synthetic gold; risk=0.78
C-14241,P1,Escalate for investigation,synthetic gold; risk=0.64
C-09887,P1,Escalate for investigation,synthetic gold; risk=0.73
C-04216,P1,Escalate for investigation,synthetic gold; risk=0.75
C-14236,P1,Route to legal review,synthetic gold; risk=0.71
C-02509,P1,Escalate for investigation,synthetic gold; risk=0.74
C-08943,P1,Escalate for investigation,synthetic gold; risk=0.69
C-18607,P1,Escalate for investigation,synthetic gold; risk=0.63
C-09247,P1,Route to legal review,synthetic gold; risk=0.65
C-15003,P1,Escalate for investigation,synthetic gold; risk=0.69
C-08588,P1,Route to legal review,synthetic gold; risk=0.65
C-15350,P1,Escalate for investigation,synthetic gold; risk=0.62
C-08355,P1,Escalate for investigation,synthetic gold; risk=0.63
C-06138,P1,Route to legal review,synthetic gold; risk=0.71
C-11306,P1,Route to legal review,synthetic gold; risk=0.64
C-06982,P1,Escalate for investigation,synthetic gold; risk=0.71
C-04003,P1,Escalate for investigation,synthetic gold; risk=0.63
C-06198,P1,Escalate for investigation,synthetic gold; risk=0.63
C-18367,P1,Escalate for investigation,synthetic gold; risk=0.70
C-08253,P1,Escalate for investigation,synthetic gold; risk=0.79
C-19078,P1,Escalate for investigation,synthetic gold; risk=0.63
C-10975,P1,Escalate for investigation,synthetic gold; risk=0.66
C-10852,P1,Escalate for investigation,synthetic gold; risk=0.68
C-16858,P1,Escalate for investigation,synthetic gold; risk=0.73
C-19258,P1,Escalate for investigation,synthetic gold; risk=0.64
C-05843,P1,Escalate for investigation,synthetic gold; risk=0.66
C-07018,P1,Escalate for investigation,synthetic gold; risk=0.73
C-15653,P1,Route to legal review,synthetic gold; risk=0.65
C-12980,P1,Route to legal review,synthetic gold; risk=0.73
C-05523,P1,Escalate for investigation,synthetic gold; risk=0.69
C-19176,P1,Escalate for investigation,synthetic gold; risk=0.62
C-15114,P1,Escalate for investigation,synthetic gold; risk=0.71
C-12788,P2,Proceed with standard handling,synthetic gold; risk=0.55
C-17898,P2,Proceed with standard handling,synthetic gold; risk=0.48
C-12168,P2,Proceed with standard handling,synthetic gold; risk=0.57
C-12035,P2,Proceed with standard handling,synthetic gold; risk=0.55
C-05550,P2,Proceed with standard handling,synthetic gold; risk=0.42
C-08587,P2,Proceed with standard handling,synthetic gold; risk=0.46
C-01929,P2,Proceed with standard handling,synthetic gold; risk=0.52
C-07881,P2,Route to advisory intake,synthetic gold; risk=0.45
C-02743,P2,Proceed with standard handling,synthetic gold; risk=0.50
C-15166,P2,Request further information,synthetic gold; risk=0.48
C-00265,P2,Request further information,synthetic gold; risk=0.48
C-16634,P2,Request further information,synthetic gold; risk=0.46
C-00337,P2,Proceed with standard handling,synthetic gold; risk=0.40
C-09826,P2,Proceed with standard handling,synthetic gold; risk=0.44
C-19543,P2,Request further information,synthetic gold; risk=0.53
C-18790,P2,Request further information,synthetic gold; risk=0.58
C-19750,P2,Request further information,synthetic gold; risk=0.51
C-07976,P2,Proceed with standard handling,synthetic gold; risk=0.55
C-12773,P2,Request further information,synthetic gold; risk=0.54
C-00724,P2,Proceed with standard handling,synthetic gold; risk=0.55
C-02428,P2,Proceed with standard handling,synthetic gold; risk=0.58
C-01697,P2,Proceed with standard handling,synthetic gold; risk=0.40
C-13156,P2,Request further information,synthetic gold; risk=0.54
C-07290,P2,Proceed with standard handling,synthetic gold; risk=0.42
C-06638,P2,Proceed with standard handling,synthetic gold; risk=0.40
C-10304,P2,Request further information,synthetic gold; risk=0.53
C-12806,P2,Proceed with standard handling,synthetic gold; risk=0.56
C-19912,P2,Request further information,synthetic gold; risk=0.42
C-05023,P2,Proceed with standard handling,synthetic gold; risk=0.56
C-08305,P2,Proceed with standard handling,synthetic gold; risk=0.40
C-14778,P2,Request further information,synthetic gold; risk=0.58
C-11851,P2,Proceed with standard handling,synthetic gold; risk=0.42
C-06945,P2,Request further information,synthetic gold; risk=0.42
C-01250,P2,Request further information,synthetic gold; risk=0.49
C-02719,P2,Request further information,synthetic gold; risk=0.45
C-17015,P2,Proceed with standard handling,synthetic gold; risk=0.41
C-03464,P2,Proceed with standard handling,synthetic gold; risk=0.45
C-03411,P2,Request further information,synthetic gold; risk=0.59
C-14977,P2,Request further information,synthetic gold; risk=0.42
C-04968,P2,Request further information,synthetic gold; risk=0.55
C-02227,P2,Proceed with standard handling,synthetic gold; risk=0.54
C-10593,P2,Request further information,synthetic gold; risk=0.44
C-18900,P2,Request further information,synthetic gold; risk=0.43
C-06398,P2,Request further information,synthetic gold; risk=0.48
C-05609,P2,Proceed with standard handling,synthetic gold; risk=0.61
C-03432,P2,Proceed with standard handling,synthetic gold; risk=0.40
C-01043,P2,Proceed with standard handling,synthetic gold; risk=0.61
C-11894,P2,Request further information,synthetic gold; risk=0.46
C-15171,P2,Proceed with standard handling,synthetic gold; risk=0.40
C-14276,P2,Proceed with standard handling,synthetic gold; risk=0.50
C-14606,P2,Request further information,synthetic gold; risk=0.55
C-08249,P2,Proceed with standard handling,synthetic gold; risk=0.45
C-00751,P2,Proceed with standard handling,synthetic gold; risk=0.41
C-08131,P2,Proceed with standard handling,synthetic gold; risk=0.52
C-04580,P2,Request further information,synthetic gold; risk=0.55
C-02646,P2,Proceed with standard handling,synthetic gold; risk=0.62
C-07452,P2,Proceed with standard handling,synthetic gold; risk=0.40
C-10237,P2,Proceed with standard handling,synthetic gold; risk=0.56
C-11036,P2,Proceed with standard handling,synthetic gold; risk=0.47
C-06376,P2,Request further information,synthetic gold; risk=0.43
C-16405,P3,Reject claim,synthetic gold; risk=0.30
C-18573,P3,Reject claim,synthetic gold; risk=0.30
C-07183,P3,Reject claim,synthetic gold; risk=0.20
C-03059,P3,Reject claim,synthetic gold; risk=0.17
C-19895,P3,Proceed with standard handling,synthetic gold; risk=0.36
C-16902,P3,Proceed with standard handling,synthetic gold; risk=0.20
C-12029,P3,Proceed with standard handling,synthetic gold; risk=0.32
C-02430,P3,Proceed with standard handling,synthetic gold; risk=0.25
C-14831,P3,Proceed with standard handling,synthetic gold; risk=0.36
C-15951,P3,Reject claim,synthetic gold; risk=0.34
C-11833,P3,Proceed with standard handling,synthetic gold; risk=0.36
C-13199,P3,Request further information,synthetic gold; risk=0.30
C-10582,P3,Reject claim,synthetic gold; risk=0.18
C-01027,P3,Proceed with standard handling,synthetic gold; risk=0.18
C-07565,P3,Proceed with standard handling,synthetic gold; risk=0.30
C-02868,P3,Reject claim,synthetic gold; risk=0.35
C-08816,P3,Proceed with standard handling,synthetic gold; risk=0.24
C-08388,P3,Reject claim,synthetic gold; risk=0.38
C-03290,P3,Proceed with standard handling,synthetic gold; risk=0.25
C-02257,P3,Proceed with standard handling,synthetic gold; risk=0.18
C-07116,P3,Request further information,synthetic gold; risk=0.26
C-17661,P3,Proceed with standard handling,synthetic gold; risk=0.20
C-00192,P3,Proceed with standard handling,synthetic gold; risk=0.35
C-18932,P3,Reject claim,synthetic gold; risk=0.30
C-09129,P3,Proceed with standard handling,synthetic gold; risk=0.23
C-05409,P3,Proceed with standard handling,synthetic gold; risk=0.34
C-11694,P3,Reject claim,synthetic gold; risk=0.30
C-10974,P3,Reject claim,synthetic gold; risk=0.28
C-08557,P3,Request further information,synthetic gold; risk=0.31
C-12901,P3,Proceed with standard handling,synthetic gold; risk=0.12
C-05369,P3,Proceed with standard handling,synthetic gold; risk=0.26
C-03459,P3,Proceed with standard handling,synthetic gold; risk=0.30
C-14225,P3,Reject claim,synthetic gold; risk=0.35
C-06884,P3,Proceed with standard handling,synthetic gold; risk=0.28
C-14284,P3,Proceed with standard handling,synthetic gold; risk=0.31
C-18543,P3,Reject claim,synthetic gold; risk=0.25
C-14273,P3,Proceed with standard handling,synthetic gold; risk=0.20
C-19468,P3,Proceed with standard handling,synthetic gold; risk=0.34
C-01491,P3,Proceed with standard handling,synthetic gold; risk=0.36
C-09319,P3,Reject claim,synthetic gold; risk=0.26
