,case_id,expected_priority,expected_action,notes,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,historical_outcome,severe_legal_or_regulatory_risk,business_critical_impact,potential_fraud,conflicting_information,complex_incident_details,policy_interpretation_issues,legal_disputes,jurisdictional_complexity,coverage_terms_unclear,exclusions_may_apply,new_or_unusual_claim_type,unclear_incident_description,claim_invalid_or_fraudulent,required_conditions_not_met,has_regulator_involvement,has_cross_border_elements,has_time_sensitivity,has_missing_documentation,mentions_fraud_or_arson,risk_summary
0,C-03470,P0,Immediate escalation,synthetic gold; risk=0.82,Mid-Market,UK,Advisory,250k-1m,No,Accepted,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,"The claim involves significant regulatory risk due to an upcoming engagement with regulators and cross-border considerations, along with an injunction that adds urgency to the situation."
1,C-19557,P0,Immediate escalation,synthetic gold; risk=1.00,Enterprise,EU,Insurance,>1m,yes,Accepted,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves significant business interruption risk due to fire damage to a warehouse, and potential policy exclusions related to being in flood zone 3 may affect coverage."
2,C-03560,P0,Immediate escalation,synthetic gold; risk=0.80,Enterprise,UK,Advisory,250k-1m,yes,Unknown,No,No data available,No,No,Yes,No,No,Yes,No,No,No,No,No,No data available,No,Yes,No data available,No,No,"The claim involves a hurricane scenario with overseas elements, indicating potential complexity in jurisdictional issues but no severe legal risks or indications of fraud."
3,C-04657,P0,Immediate escalation,synthetic gold; risk=0.85,Enterprise,UK,Advisory,>1m,No,Escalated,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,"The claim indicates unclear scope and missing documentation, which may complicate compliance analysis and raise issues in policy interpretation."
4,C-00796,P0,Immediate escalation,synthetic gold; risk=0.94,Mid-Market,UK,Legal,>1m,yes,Unknown,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"The claim has escalated to a legal dispute with a court injunction, indicating severe legal risk, compounded by conflicting information provided by the client."
5,C-09848,P0,Immediate escalation,synthetic gold; risk=0.86,SMB,US,Legal,>1m,yes,Unknown,No,No data available,No data available,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No data available,No,Yes,"The claim presents complex incident details with a disputed jurisdiction and potential cross-border implications. Additionally, there are legal disputes involved, and there are mentions of police reference which may indicate fraudulent aspects."
6,C-01628,P0,Immediate escalation,synthetic gold; risk=0.85,Mid-Market,US,Legal,250k-1m,yes,Escalated,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,"The claim involves a legal threat and has escalated due to multiple parties being named, indicating significant legal and regulatory risk, particularly with regulator involvement."
7,C-02183,P0,Immediate escalation,synthetic gold; risk=0.90,Enterprise,UK,Insurance,>1m,yes,Escalated,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"The claim indicates storm-related damage and theft of equipment, raising concerns of potential fraud. Business critical impact is noted due to significant loss from the storm."
8,C-19227,P0,Immediate escalation,synthetic gold; risk=0.86,Mid-Market,UK,Legal,>1m,yes,Settled,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"The claim involves a potential breach of contract, indicating legal disputes as a key concern, with time sensitivity requiring immediate attention."
9,C-10731,P0,Immediate escalation,synthetic gold; risk=0.83,SMB,UK,Legal,250k-1m,yes,Escalated,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No data available,No data available,No,No,No data available,No data available,Yes,No data available,No,No,"The claim involves a disputed jurisdiction related to an IP infringement allegation in the UK, alongside a major fire incident, indicating potential severe legal and regulatory risks and significant business impact."
10,C-10102,P0,Immediate escalation,synthetic gold; risk=0.85,Mid-Market,US,Legal,250k-1m,yes,Unknown,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim involves an employment dispute with jurisdiction in question, indicating legal complexity and conflicting information that may require careful assessment."
11,C-09460,P0,Immediate escalation,synthetic gold; risk=0.92,Mid-Market,UK,Insurance,>1m,No,Escalated,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,"The claim indicates a significant risk due to a fire incident resulting in roof damage at a commercial premises, with evidence yet to be supplied, raising concerns about potential business impact and missing documentation."
12,C-01253,P0,Immediate escalation,synthetic gold; risk=0.92,Enterprise,UK,Legal,>1m,yes,Unknown,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves a legal dispute escalation, indicating a severe legal risk and prior losses may suggest that exclusions could apply."
13,C-05030,P0,Immediate escalation,synthetic gold; risk=0.88,SMB,UK,Insurance,>1m,yes,Settled,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"The claim involves business interruption due to fire damage to a warehouse, indicating a potential for significant financial impact."
14,C-13405,P0,Immediate escalation,synthetic gold; risk=0.83,Enterprise,US,Legal,250k-1m,yes,Settled,No,No,No,No,No,Yes,Yes,Yes,No,No data available,No,No,No,No data available,No data available,Yes,No,No,No,"The claim presents risks associated with a potential breach of contract and unclear governing law, indicating possible legal disputes and jurisdictional complexity."
15,C-10343,P0,Immediate escalation,synthetic gold; risk=0.93,Mid-Market,US,Legal,250k-1m,No,Unknown,No,No,No,No data available,No,No,Yes,No,No,No data available,No,No,No,No data available,No,No,No data available,Yes,Yes,"The claim involves a formal letter from a counterparty related to a fire incident, indicating some legal dispute. Evidence is currently limited, suggesting potential issues with documentation and possible arson."
16,C-02568,P0,Immediate escalation,synthetic gold; risk=0.84,SMB,US,Legal,>1m,No,Settled,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,"The claim involves legal disputes with jurisdictional complexity, and there are issues related to missing documentation and policy interpretation. This raises concerns regarding compliance and the potential for escalation."
17,C-18541,P0,Immediate escalation,synthetic gold; risk=0.95,Enterprise,UK,Advisory,>1m,yes,Escalated,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,"The claim involves a data protection incident with potential regulatory exposure and cross-border implications, requiring careful consideration of legal obligations."
18,C-06679,P0,Immediate escalation,synthetic gold; risk=0.82,Mid-Market,UK,Advisory,250k-1m,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No data available,No,Yes,No,No,"The claim involves a court injunction indicating potential severe legal or regulatory risk. However, there are no immediate disputes or indications of business-critical impact."
19,C-09875,P0,Immediate escalation,synthetic gold; risk=1.00,Mid-Market,UK,Legal,>1m,No,Escalated,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"The claim involves an employment dispute with jurisdiction issues and missing evidence, indicating complexity and potential for legal escalation."
20,C-02875,P0,Immediate escalation,synthetic gold; risk=0.85,Enterprise,No data Available,Advisory,>1m,No,Escalated,Yes,No data available,No,No,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No,Yes,No data available,No data available,Yes,No,"The claim presents severe regulatory risks due to anticipated regulator engagement following an acquisition, and it lacks necessary policy documentation."
21,C-17171,P0,Immediate escalation,synthetic gold; risk=0.91,SMB,UK,Legal,250k-1m,No,Unknown,Yes,No data available,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No data available,No,No,Yes,No,No,"The claim involves a potential breach of contract with disputed jurisdiction and conflicting information, raising severe legal risk and immediate concerns due to an injunction."
22,C-10838,P0,Escalate for investigation,synthetic gold; risk=0.82,Mid-Market,UK,Advisory,250k-1m,No,Accepted,Yes,No data available,Yes,No,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Yes,No,No data available,Yes,Yes,"The claim involves potential arson with expected regulator engagement, indicating a high risk of legal ramifications and suspicion of fraud. Evidence is currently lacking, which raises additional concerns regarding the validity of the claim."
23,C-17224,P0,Immediate escalation,synthetic gold; risk=0.85,Mid-Market,US,Legal,250k-1m,No,Unknown,Yes,No data available,No,No,No,No,Yes,No data available,No data available,No data available,No,No,No,No data available,No data available,No data available,Yes,Yes,No,"The claim presents a severe legal risk due to an allegation of intellectual property infringement, requiring a time-sensitive response, and currently has missing evidence."
24,C-03568,P0,Immediate escalation,synthetic gold; risk=0.89,Mid-Market,UK,Legal,250k-1m,yes,Escalated,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No data available,No data available,Yes,No data available,No,No,"The claim involves a potential breach of contract with unclear governing law, which raises severe legal risks. Additionally, there is conflicting information from the client regarding the incident."
25,C-08066,P0,Immediate escalation,synthetic gold; risk=1.00,Enterprise,UK,Legal,>1m,yes,Accepted,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,"The claim involves a time-sensitive response to a formal letter regarding a data protection incident, indicating severe legal risks and complexities due to international elements."
26,C-10144,P0,Immediate escalation,synthetic gold; risk=0.86,SMB,US,Insurance,>1m,No,Escalated,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,"The claim involves water ingress at commercial premises and has escalated to a class action, indicating significant legal exposure and potential regulatory risks."
27,C-13167,P0,Immediate escalation,synthetic gold; risk=0.82,Enterprise,UK,Legal,>1m,yes,Unknown,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"This claim involves an employment dispute with multiple parties, indicating a complex incident and potential legal disputes."
28,C-00289,P0,Immediate escalation,synthetic gold; risk=0.91,SMB,UK,Advisory,>1m,No,Escalated,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"The client is seeking decision support on risk controls, indicating potential regulatory scrutiny with an anticipated regulator visit, which elevates the legal and regulatory risk."
29,C-01000,P0,Immediate escalation,synthetic gold; risk=0.84,Mid-Market,EU,Insurance,>1m,yes,Unknown,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"The claim involves storm-related damage and fire damage to a warehouse, indicating a potential business-critical impact. Additionally, the mention of subsidence and fire raises questions about the nature of the incident, which is categorized as complex and potentially involving arson."
30,C-09468,P0,Immediate escalation,synthetic gold; risk=0.88,SMB,UK,Legal,>1m,yes,Accepted,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,"This claim involves a severe legal dispute with multiple parties and a threat of legal action, indicating significant risk exposure. There are elements of arson mentioned, and the situation appears time-sensitive."
31,C-13440,P0,Immediate escalation,synthetic gold; risk=1.00,Enterprise,US,Legal,250k-1m,yes,Unknown,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim presents risks of potential breach of contract, with jurisdiction disputed, which may lead to severe legal implications. There are conflicting interpretations of the contract that might complicate the assessment."
32,C-11242,P0,Immediate escalation,synthetic gold; risk=0.89,Mid-Market,UK,Advisory,>1m,yes,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,The claim indicates a significant regulatory concern due to anticipated regulator engagement related to a fire incident. There are no indications of potential fraud or unusual circumstances.
33,C-19474,P0,Escalate for investigation,synthetic gold; risk=0.96,SMB,UK,Insurance,>1m,No,Escalated,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,"The claim involves a fire damage incident suspected to be arson, leading to potential business interruption, with conflicting information from the client raising concerns about possible fraudulent activity."
34,C-03321,P0,Immediate escalation,synthetic gold; risk=0.87,Mid-Market,UK,Legal,250k-1m,No,Unknown,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,"The claim presents a significant regulatory risk due to a jurisdiction dispute and the involvement of regulators, alongside potential complexities in legal interpretation."
35,C-20000,P0,Immediate escalation,synthetic gold; risk=1.00,Mid-Market,EU,Legal,>1m,yes,Unknown,Yes,No data available,No,No,Yes,Yes,Yes,Yes,No data available,No data available,No data available,No,No,No data available,No data available,Yes,No data available,No,No,"The claim presents significant legal risks due to a potential breach of contract and cross-border complexities, indicating the need for careful management and review of policy interpretations."
36,C-09160,P0,Immediate escalation,synthetic gold; risk=0.92,Enterprise,EU,Legal,>1m,yes,Settled,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim presents risks associated with a potential breach of contract, jurisdictional disputes, and the complexities of cross-border considerations."
37,C-17028,P0,Immediate escalation,synthetic gold; risk=0.89,Mid-Market,UK,Advisory,>1m,yes,Escalated,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No data available,No,Yes,No data available,No data available,No,No,No data available,No,No,The claim involves a major fire with unclear scope and jurisdictional complexities. There are significant issues related to compliance and policy interpretation that could pose risks to the business.
38,C-08681,P0,Immediate escalation,synthetic gold; risk=0.89,Mid-Market,UK,Advisory,>1m,yes,Escalated,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No data available,No data available,No,"The claim involves a request for a compliance gap analysis with anticipated regulator engagement, indicating a severe legal or regulatory risk due to potential compliance issues related to subsidence."
39,C-12663,P0,Immediate escalation,synthetic gold; risk=0.84,Mid-Market,US,Insurance,>1m,yes,Escalated,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,"The claim involves subsidence affecting the basement with police involvement, suggesting potential fraud elements and cross-border complications due to overseas elements."
40,C-19799,P1,Route to legal review,synthetic gold; risk=0.64,SMB,US,Legal,50k-250k,No,Unknown,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"The claim involves legal disputes with governing law unclear, indicating potential jurisdictional complexity and the need for policy interpretation."
41,C-04571,P1,Escalate for investigation,synthetic gold; risk=0.66,Mid-Market,US,Insurance,>1m,yes,Unknown,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves damage from heavy rainfall leading to a compromised roof, indicating potential issues with coverage related to weather-related exclusions."
42,C-02467,P1,Escalate for coverage review,synthetic gold; risk=0.80,SMB,UK,Legal,>1m,yes,Unknown,Yes,No data available,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,"The claim involves a legal dispute over jurisdiction and potential exposure to severe legal risks, compounded by the fact that it arises from a flood zone. Additionally, conflicting information has been noted in the claim documentation."
43,C-10116,P1,Escalate for investigation,synthetic gold; risk=0.78,Enterprise,US,Insurance,50k-250k,No,Accepted,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No data available,Yes,No data available,Yes,Yes,"This claim involves severe risks related to legal disputes and unclear policy coverage, exacerbated by the absence of policy documents and the presence of overseas elements. Additionally, potential exclusions may apply due to the nature of the reported damages."
44,C-07101,P1,Escalate for coverage review,synthetic gold; risk=0.77,Enterprise,UK,Legal,250k-1m,yes,Accepted,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No data available,No,No,No,No,"The claim has escalated to a legal threat with limited evidence available, indicating a significant legal dispute. Additionally, it's situated in flood zone 3, suggesting that policy exclusions may apply."
45,C-16335,P1,Route to legal review,synthetic gold; risk=0.73,SMB,UK,Legal,250k-1m,yes,Unknown,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,"The claim presents a severe legal risk due to a formal letter from the counterparty, with indications of a potential injunction and cross-border complexities."
46,C-08251,P1,Escalate for investigation,synthetic gold; risk=0.75,Enterprise,UK,Insurance,250k-1m,yes,Unknown,No,No,Yes,No,No,No,No,No,No,No data available,No,No,No data available,No data available,No,No,No,No,Yes,"The claim involves reported damage due to heavy rainfall alongside a suspicion of arson, indicating potential fraud risks."
47,C-04146,P1,Escalate for coverage review,synthetic gold; risk=0.76,Enterprise,Other,Legal,50k-250k,No,Unknown,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,"The claim involves a legal dispute that has escalated into a legal threat, creating a severe legal risk. It also has time-sensitive elements and cross-border implications due to overseas elements present."
48,C-15368,P1,Escalate for investigation,synthetic gold; risk=0.73,SMB,EU,Insurance,250k-1m,yes,Accepted,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No data available,No,No data available,No,"The claim involves significant fire damage to a warehouse, which may impact business operations, compounded by the fact that there have been prior losses and potential applicability of policy exclusions."
49,C-08799,P1,Escalate for investigation,synthetic gold; risk=0.66,SMB,EU,Insurance,50k-250k,No,Unknown,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"The claim involves significant fire and storm damage at a commercial warehouse, with potential business-critical impact; however, missing policy documentation and conflicting information raise concerns about claim validation."
50,C-05062,P1,Route to legal review,synthetic gold; risk=0.62,Enterprise,EU,Legal,50k-250k,yes,Rejected,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim involves a breach of contract with multiple parties and overseas elements, indicating significant legal dispute and complexity."
51,C-02914,P1,Escalate for investigation,synthetic gold; risk=0.63,SMB,EU,Insurance,250k-1m,No,Accepted,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"The claim presents potential legal risks due to the involvement of data protection issues and the absence of supporting documentation, which may complicate the validation of the claim."
52,C-11652,P1,Escalate for investigation,synthetic gold; risk=0.77,Mid-Market,Other,Insurance,250k-1m,No,Unknown,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,"The claim involves storm-related damage with a major fire in the basement, indicating a significant potential for business-critical impact and possible exclusions applying; it also mentions a suspicion of arson."
53,C-07583,P1,Escalate for investigation,synthetic gold; risk=0.67,Enterprise,EU,Insurance,250k-1m,yes,Rejected,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"The claim indicates potential business interruption due to storm damage affecting the basement, with jurisdictional complexity noted in the EU. The historical outcome of rejection may highlight coverage challenges."
54,C-05122,P1,Escalate for investigation,synthetic gold; risk=0.66,Mid-Market,UK,Insurance,>1m,yes,Accepted,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,"The claim involves damage due to heavy rainfall and theft of equipment, indicating potential fraud risks associated with the theft, while also raising concerns about possible policy exclusions related to flooding."
55,C-03208,P1,Route to legal review,synthetic gold; risk=0.71,Mid-Market,UK,Legal,250k-1m,yes,Accepted,No,No,No data available,No,Yes,No,Yes,Yes,No data available,No data available,No data available,No data available,No data available,No data available,No,No,No data available,No,No,"The claim involves a breach of contract in an employment dispute with multiple parties, indicating a complex situation under UK jurisdiction."
56,C-01838,P1,Escalate for investigation,synthetic gold; risk=0.75,Enterprise,EU,Insurance,250k-1m,yes,Accepted,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"The claim indicates storm-related damage with a compromised roof and involves a data protection incident, signaling severe legal or regulatory risk."
57,C-08426,P1,Escalate for investigation,synthetic gold; risk=0.63,SMB,EU,Insurance,250k-1m,yes,Accepted,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,"The claim involves water ingress and subsidence following heavy rainfall, with police reference provided, indicating the potential for policy exclusions related to weather events. No indications of fraud or legal disputes have been noted."
58,C-07499,P1,Escalate for coverage review,synthetic gold; risk=0.70,Enterprise,EU,Insurance,50k-250k,yes,Unknown,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves significant fire damage at a warehouse located in a flood zone, indicating a potential for business-critical impact and suggesting that policy exclusions related to flood zones may apply."
59,C-11926,P1,Escalate for investigation,synthetic gold; risk=0.75,Enterprise,Other,Insurance,250k-1m,No,Escalated,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"The claim exhibits indicators of policy interpretation issues due to unclear governing law, alongside missing documentation which could impact assessment."
60,C-14592,P1,Escalate for investigation,synthetic gold; risk=0.73,SMB,US,Insurance,250k-1m,No,Escalated,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,"This claim presents several risk signals including potential business interruption, theft, arson, and missing documentation, alongside complex jurisdictional issues due to cross-border elements."
61,C-17360,P1,Escalate for investigation,synthetic gold; risk=0.75,Enterprise,Other,Insurance,250k-1m,yes,Escalated,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"The claim involves storm-related damage with a suspicion of arson, indicating potential fraud concerns."
62,C-09634,P1,Escalate for investigation,synthetic gold; risk=0.68,SMB,EU,Advisory,250k-1m,yes,Accepted,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,"The claim involves anticipated regulator engagement related to subsidence, indicating potential legal and regulatory risks, especially within a cross-border EU context."
63,C-14765,P1,Escalate for investigation,synthetic gold; risk=0.74,Mid-Market,UK,Advisory,250k-1m,yes,Rejected,Yes,Yes,No data available,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,"The claim involves a major fire incident, prompting operational risk assessments and regulator involvement, indicating significant legal and regulatory risks."
