,case_id,expected_priority,expected_action,notes,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,historical_outcome,severe_legal_or_regulatory_risk,business_critical_impact,potential_fraud,conflicting_information,complex_incident_details,policy_interpretation_issues,legal_disputes,jurisdictional_complexity,coverage_terms_unclear,exclusions_may_apply,new_or_unusual_claim_type,unclear_incident_description,claim_invalid_or_fraudulent,required_conditions_not_met,has_regulator_involvement,has_cross_border_elements,has_time_sensitivity,has_missing_documentation,mentions_fraud_or_arson,risk_summary
64,C-03691,P1,Escalate for investigation,synthetic gold; risk=0.78,SMB,Other,Insurance,>1m,yes,Escalated,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"The claim involves storm-related damage with a compromised roof and has been escalated for regulator involvement, indicating potential regulatory scrutiny."
65,C-10205,P1,Escalate for investigation,synthetic gold; risk=0.74,Mid-Market,UK,Advisory,250k-1m,yes,Unknown,No data available,No data available,Yes,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No,No,Yes,"The claim indicates potential fraud as it involves suspected arson, which raises significant risk concerns for regulatory exposure."
66,C-01002,P1,Escalate for coverage review,synthetic gold; risk=0.63,SMB,UK,Insurance,250k-1m,No,Accepted,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,"The claim indicates potential fraud due to the reported theft of equipment alongside damage from heavy rainfall, with missing documentation raising concerns about its validity. Moreover, the claim falls within a flood zone, suggesting applicable policy exclusions."
67,C-03240,P1,Escalate for investigation,synthetic gold; risk=0.63,SMB,EU,Insurance,250k-1m,yes,Accepted,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,"The claim involves a significant fire incident with property and contents loss, coupled with regulator involvement, indicating both severe legal risks and business-critical impacts."
68,C-08279,P1,Escalate for investigation,synthetic gold; risk=0.78,SMB,US,Insurance,>1m,No,Unknown,No,Yes,No,No,No,Yes,No,Yes,No,No data available,No,No,No,No,No,Yes,No data available,No,Yes,"The claim indicates potential business interruption due to reported theft of equipment, with concerns regarding unclear governing law, which may complicate the resolution process."
69,C-14241,P1,Escalate for investigation,synthetic gold; risk=0.64,Mid-Market,EU,Advisory,250k-1m,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"The claim involves a request for advice on regulatory exposure with anticipated regulator engagement, indicating potential severe legal risks."
70,C-09887,P1,Escalate for investigation,synthetic gold; risk=0.73,SMB,UK,Insurance,250k-1m,yes,Unknown,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,"The claim involves potential business interruption and has a court injunction, indicating severe legal risk and business-critical impact. The involvement of regulatory authority heightens the urgency of resolution."
71,C-04216,P1,Escalate for investigation,synthetic gold; risk=0.75,Enterprise,US,Insurance,250k-1m,yes,Unknown,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"This claim presents a severe legal and regulatory risk due to a regulator visit in response to a fire damage event impacting property and contents, indicating significant business-critical impact."
72,C-14236,P1,Route to legal review,synthetic gold; risk=0.71,Mid-Market,EU,Legal,250k-1m,yes,Escalated,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"The claim involves an employment dispute from a former contractor with unclear governing law, indicating potential legal disputes and jurisdictional complexity."
73,C-02509,P1,Escalate for investigation,synthetic gold; risk=0.74,Mid-Market,UK,Insurance,>1m,No,Unknown,No,No,No,No,No,No,No,No,No,No data available,No,No,No,No data available,No,No,No data available,Yes,No,"The claim reports storm-related damage to the basement but lacks supporting evidence, indicating potential issues with documentation adequacy."
74,C-08943,P1,Escalate for investigation,synthetic gold; risk=0.69,Mid-Market,Other,Insurance,250k-1m,yes,Rejected,Yes,Yes,No,No,No,No data available,No,No data available,No data available,Yes,No,No,No,No data available,Yes,No,No data available,No,Yes,"The claim involves fire damage to a warehouse potentially linked to heavy rainfall, raising severe legal risks due to regulatory involvement. Additionally, policy exclusions may apply in light of the circumstances of the damage."
75,C-18607,P1,Escalate for investigation,synthetic gold; risk=0.63,SMB,US,Insurance,250k-1m,yes,Unknown,No,Yes,No,No,No,No,No,Yes,No,No data available,No,No,No,No,No data available,Yes,No,No,No,"The claim involves significant fire damage at a commercial warehouse, indicating a potential for business-critical impact. Additionally, the presence of overseas elements suggests jurisdictional complexity."
76,C-09247,P1,Route to legal review,synthetic gold; risk=0.65,SMB,UK,Legal,250k-1m,yes,Accepted,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,"This claim involves a legal threat and necessitates a time-sensitive response, indicating severe legal risk alongside a potential for fraud due to prior losses."
77,C-15003,P1,Escalate for investigation,synthetic gold; risk=0.69,Mid-Market,Other,Insurance,250k-1m,yes,Unknown,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No data available,No data available,No,No,"The claim involves a fire damage incident with regulatory involvement, indicating significant operational and legal risks. The jurisdiction noted as 'Other' adds complexity to the claim."
78,C-08588,P1,Route to legal review,synthetic gold; risk=0.65,No data Available,EU,Legal,250k-1m,yes,Escalated,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim involves an IP infringement allegation with disputed jurisdiction, indicating potential legal disputes and regulatory risk, necessitating careful interpretation of applicable laws."
79,C-15350,P1,Escalate for investigation,synthetic gold; risk=0.62,Mid-Market,UK,Insurance,<50k,No,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"The claim indicates potential business interruption due to fire damage to the warehouse, posing a significant financial risk."
80,C-08355,P1,Escalate for investigation,synthetic gold; risk=0.63,Enterprise,UK,Insurance,Unknown,No,Escalated,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,"The claim involves significant damage to a warehouse following heavy rainfall and fire, but critical policy documents are missing, raising concerns about required conditions not being met and potential coverage exclusions."
81,C-06138,P1,Route to legal review,synthetic gold; risk=0.71,SMB,US,Legal,250k-1m,yes,Accepted,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"This claim involves a potentially severe legal risk due to IP infringement allegations and jurisdictional complexities, compounded by conflicting information provided by the client."
82,C-11306,P1,Route to legal review,synthetic gold; risk=0.64,SMB,US,Legal,50k-250k,No,Unknown,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim presents a potential breach of contract with unclear governing law and involves IP infringement, indicating legal disputes and jurisdictional complexity."
83,C-06982,P1,Escalate for investigation,synthetic gold; risk=0.71,Mid-Market,EU,Advisory,>1m,yes,Unknown,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,"The claim presents risks due to unclear policy interpretation and scope, along with a vague incident description, indicating potential challenges in the assessment process."
84,C-04003,P1,Escalate for investigation,synthetic gold; risk=0.63,SMB,UK,Insurance,250k-1m,yes,Rejected,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,"The claim presents risks related to potential fraud and suspected arson, coupled with cross-border complexities and significant business impact from storm-related damage and theft."
85,C-06198,P1,Escalate for investigation,synthetic gold; risk=0.63,SMB,UK,Insurance,250k-1m,yes,Accepted,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,The claim presents potential fraud risk due to the suspicion of arson amidst reported storm-related damage.
86,C-18367,P1,Escalate for investigation,synthetic gold; risk=0.70,Enterprise,EU,Insurance,50k-250k,yes,Unknown,No,Yes,No,No,No,No,No,No,No,No data available,No,No,No,No data available,Yes,No,No data available,No,Yes,"The claim involves significant fire damage to a warehouse, indicating a business-critical impact and potential business interruption. Additionally, there is a police reference provided, which raises suspicions of possible fraud or arson."
87,C-08253,P1,Escalate for investigation,synthetic gold; risk=0.79,Mid-Market,US,Insurance,250k-1m,yes,Accepted,Yes,Yes,No,No,No,No data available,Yes,No,No,Yes,No,No,No,No,No data available,No,No,No,Yes,"The claim presents severe legal risks due to a reported breach of contract and involves fire damage following heavy rainfall, which raises concerns about policy exclusions related to flood events."
88,C-19078,P1,Escalate for investigation,synthetic gold; risk=0.63,SMB,Other,No data Available,250k-1m,yes,Unknown,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No data available,No data available,No data available,No,Yes,"The claim involves significant legal risk due to a class action related to reported damage from heavy rainfall, with jurisdictional complexity and potential exposures under regulatory scrutiny."
89,C-10975,P1,Escalate for investigation,synthetic gold; risk=0.66,Mid-Market,UK,Insurance,>1m,yes,Unknown,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No data available,No,No,No,No,Yes,"The claim indicates potential fraud due to the involvement of police after reported damage from heavy rainfall affecting the basement, suggesting the possibility of exaggerated claims. Additionally, policy exclusions may apply due to the nature of flood-related damage."
90,C-10852,P1,Escalate for investigation,synthetic gold; risk=0.68,SMB,EU,Advisory,250k-1m,yes,Accepted,No,No,No,No,Yes,Yes,No,Yes,Yes,No data available,No data available,Yes,No data available,No data available,No data available,Yes,No data available,No data available,No data available,The claim presents risks of complex incident details and policy interpretation issues due to unclear scope and cross-border considerations.
91,C-16858,P1,Escalate for investigation,synthetic gold; risk=0.73,SMB,Other,Insurance,250k-1m,yes,Accepted,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No data available,No,No,"The claim indicates potential business interruption due to a compromised roof and a data protection incident, signaling significant operational risk."
92,C-19258,P1,Escalate for investigation,synthetic gold; risk=0.64,Mid-Market,UK,Insurance,50k-250k,yes,Unknown,No,Yes,No,No,No,No data available,No,No,No,No data available,No,No,No,No data available,No,No,No data available,No,No,"The claim involves significant business interruption due to fire damage to a warehouse, indicating critical operational risks. There is uncertainty regarding policy exclusions and interpretation, but no indications of potential fraud or legal disputes."
93,C-05843,P1,Escalate for investigation,synthetic gold; risk=0.66,No data Available,UK,Insurance,50k-250k,No,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"The claim involves significant fire and storm damage to a warehouse, indicating a potential business-critical impact. The outcome remains unknown, but there are no immediate legal or regulatory risks identifiable."
94,C-07018,P1,Escalate for investigation,synthetic gold; risk=0.73,SMB,UK,Advisory,>1m,No,Accepted,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,"The client is seeking advice on potential regulatory exposure with anticipated regulator engagement, indicating a significant risk of legal scrutiny, but no immediate business impact or documentation is provided."
95,C-15653,P1,Route to legal review,synthetic gold; risk=0.65,SMB,UK,Legal,250k-1m,yes,Accepted,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim involves a legal dispute concerning IP infringement with a disputed jurisdiction, indicating both conflicting information and potential issues with policy interpretation."
96,C-12980,P1,Route to legal review,synthetic gold; risk=0.73,SMB,UK,Legal,250k-1m,yes,Escalated,Yes,No,No,No,No,No,Yes,No,No,No,No,No data available,No,No data available,No,No,Yes,No,No,"The claim involves an employment dispute with a former contractor and has been escalated due to an injunction, indicating potential legal risks. Evidence is limited, which may complicate the case."
97,C-05523,P1,Escalate for investigation,synthetic gold; risk=0.69,Mid-Market,UK,Insurance,250k-1m,yes,Accepted,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,"The claim indicates storm-related damage that led to fire damage in a warehouse, suggesting potential business-critical impact and possible policy exclusions for storm-related incidents."
98,C-19176,P1,Escalate for investigation,synthetic gold; risk=0.62,Mid-Market,UK,Insurance,50k-250k,No,Unknown,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,"The claim presents a significant risk of business interruption due to fire damage following heavy rainfall, with potential cross-border complexities and missing documentation posing significant challenges for verification."
99,C-15114,P1,Escalate for investigation,synthetic gold; risk=0.71,SMB,EU,Insurance,250k-1m,No,Accepted,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No data available,Yes,Yes,No,No,"The claim involves significant legal and regulatory risks due to an injunction and cross-border complexities, indicating potential for further disputes or regulatory scrutiny."
100,C-12788,P2,Proceed with standard handling,synthetic gold; risk=0.55,SMB,UK,Legal,250k-1m,yes,Unknown,No,No,No,No,No,No,Yes,No,No,No data available,No data available,No,No,No data available,No,No,No,Yes,No,"The claim involves an employment dispute raised by a former contractor, with currently limited evidence available, indicating potential legal disputes and missing documentation."
101,C-17898,P2,Proceed with standard handling,synthetic gold; risk=0.48,SMB,UK,Insurance,50k-250k,yes,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"The claim involves storm-related damage leading to fire, indicating a significant impact on business operations. There are mentions of possible fraudulent activity linked to the fire incident."
102,C-12168,P2,Proceed with standard handling,synthetic gold; risk=0.57,Enterprise,UK,Insurance,250k-1m,yes,Unknown,No,No,No,No,No,No data available,No,Yes,No data available,No data available,No,No,No,No data available,No,No data available,No data available,No,No,"The claim involves an incident reported in the UK affecting a commercial basement, with indications of jurisdictional complexity but no alerts for fraud or other severe risks."
103,C-12035,P2,Proceed with standard handling,synthetic gold; risk=0.55,SMB,UK,Insurance,250k-1m,yes,Unknown,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim may involve business interruption due to basement damage with cross-border elements, indicating potential complexity in handling and assessment."
104,C-05550,P2,Proceed with standard handling,synthetic gold; risk=0.42,Enterprise,UK,Insurance,<50k,yes,Unknown,No,Yes,No,No,No,No,No,No,No,No data available,No,No,No,No,No,No,No,No,No,"The claim indicates a potential business interruption due to noted water ingress, which represents a business-critical impact but lacks severe legal or regulatory risks."
105,C-08587,P2,Proceed with standard handling,synthetic gold; risk=0.46,Mid-Market,UK,Legal,50k-250k,yes,Accepted,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No data available,No,Yes,"The dispute has escalated to a legal threat, indicating significant legal risk despite limited evidence. A police reference number has been provided, suggesting some degree of investigation."
106,C-01929,P2,Proceed with standard handling,synthetic gold; risk=0.52,Enterprise,Other,Insurance,50k-250k,yes,Accepted,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"The claim involves storm-related damage affecting the basement, with historical evidence of acceptance and an attachment to support the claim."
107,C-07881,P2,Route to advisory intake,synthetic gold; risk=0.45,SMB,EU,Advisory,50k-250k,yes,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,"This claim involves potential IP infringement with police involvement, indicating severe legal risk and possible fraudulent activity."
108,C-02743,P2,Proceed with standard handling,synthetic gold; risk=0.50,SMB,UK,Legal,50k-250k,yes,Escalated,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"The claim involves a breach of contract with multiple parties and is subject to UK jurisdiction, indicating a complex legal dispute."
109,C-15166,P2,Request further information,synthetic gold; risk=0.48,SMB,EU,Insurance,50k-250k,No,Unknown,Yes,Yes,No,No,No,No,Yes,No,No,No data available,No,No,No,No,No,No,No,No,No,"This claim presents severe legal risk due to allegations of intellectual property infringement. Additionally, it indicates potential business interruption impacts from basement damage."
110,C-00265,P2,Request further information,synthetic gold; risk=0.48,SMB,EU,Legal,50k-250k,No,Accepted,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"The claim presents an employment dispute with limited evidence and missing documentation, leading to conflicting information reported by the client. These factors suggest a potential for complications in the claims process."
111,C-16634,P2,Request further information,synthetic gold; risk=0.46,SMB,UK,Insurance,<50k,No,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No data available,No,No,"The claim involves fire damage to a warehouse, indicating potential significant financial loss and business interruption, but there are no signals of fraud or legal disputes."
112,C-00337,P2,Proceed with standard handling,synthetic gold; risk=0.40,SMB,US,Insurance,50k-250k,yes,Settled,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,"The claim involves a theft of equipment and storm damage, raising concerns of potential fraud due to suspicious circumstances. Regulatory involvement is indicated by the provided police reference number."
113,C-09826,P2,Proceed with standard handling,synthetic gold; risk=0.44,Enterprise,UK,Legal,<50k,yes,Unknown,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"The claim involves a potential breach of contract with multiple parties but lacks the necessary supporting documentation, indicating a risk of legal disputes and missing evidence."
114,C-19543,P2,Request further information,synthetic gold; risk=0.53,SMB,US,Advisory,50k-250k,No,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"The claim involves a request for an operational risk assessment related to business interruption, which indicates a notable risk but no immediate disputes or other alarming factors are present."
115,C-18790,P2,Request further information,synthetic gold; risk=0.58,SMB,UK,Legal,50k-250k,No,Unknown,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim raises potential breach of contract concerns with unclear governing law, highlighting legal disputes and jurisdictional complexity."
116,C-19750,P2,Request further information,synthetic gold; risk=0.51,Mid-Market,UK,Insurance,250k-1m,No,Settled,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"The claim involves water ingress causing damage, but critical supporting documentation is missing, which raises concerns about compliance with policy requirements."
117,C-07976,P2,Proceed with standard handling,synthetic gold; risk=0.55,SMB,UK,Insurance,250k-1m,yes,Rejected,No,Yes,No,No,No,No data available,No,Yes,No data available,No data available,No,No data available,No,No data available,No,No,No,No,No,"The claim involves potential business interruption due to basement damage and is located in the UK jurisdiction, but the historical outcome was a rejection. There is jurisdictional complexity to consider."
118,C-12773,P2,Request further information,synthetic gold; risk=0.54,Mid-Market,UK,Insurance,50k-250k,No,Rejected,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,"The claim exhibits significant risks due to conflicting information, potential fraud indicators, and missing policy documents. Additionally, there is a legal dispute risk related to IP infringement."
119,C-00724,P2,Proceed with standard handling,synthetic gold; risk=0.55,SMB,US,Insurance,250k-1m,yes,Unknown,Yes,Yes,No,No,No,No,Yes,No,No,No data available,No,No,No,No data available,No data available,No,No data available,No,No,"The claim indicates potential business interruption and legal disputes related to intellectual property infringement, with the basement affected. This suggests significant risk of financial impact."
120,C-02428,P2,Proceed with standard handling,synthetic gold; risk=0.58,SMB,UK,Insurance,50k-250k,yes,Unknown,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves business interruption due to fire damage in a flood zone, indicating potential coverage issues related to exclusions that may apply."
121,C-01697,P2,Proceed with standard handling,synthetic gold; risk=0.40,SMB,EU,Legal,<50k,yes,Unknown,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No data available,No data available,No,Yes,No data available,No,Yes,"The claim involves legal disputes with an unclear governing law, posing severe legal risk and potential indicators of fraud due to police involvement."
122,C-13156,P2,Request further information,synthetic gold; risk=0.54,Mid-Market,Other,Insurance,50k-250k,No,Escalated,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,"The claim involves storm-related damage and theft of equipment, raising concerns of potential fraud and a breach of contract; thus, there is a significant business impact."
123,C-07290,P2,Proceed with standard handling,synthetic gold; risk=0.42,Enterprise,UK,Insurance,50k-250k,yes,Accepted,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim is related to water ingress following heavy rainfall, which typically falls under standard coverage; however, exclusions may apply depending on the policy specifics."
124,C-06638,P2,Proceed with standard handling,synthetic gold; risk=0.40,SMB,UK,Legal,<50k,yes,Accepted,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"The claim involves an employment dispute with unclear governing law and policy interpretation issues, indicating potential legal complexities."
125,C-10304,P2,Request further information,synthetic gold; risk=0.53,SMB,UK,Insurance,250k-1m,No,Accepted,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"The claim involves a loss event affecting property and contents in the basement, but crucial policy documents are missing, indicating that required conditions may not have been met."
126,C-12806,P2,Proceed with standard handling,synthetic gold; risk=0.56,Mid-Market,UK,Legal,50k-250k,yes,Accepted,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,"The claim involves an employment dispute with a former contractor, presenting potential fraud risk, jurisdictional complexity, and unclear governing law, with police involvement noted."
127,C-19912,P2,Request further information,synthetic gold; risk=0.42,Enterprise,EU,Advisory,Unknown,No,Accepted,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No data available,No,No,"The claim involves a small crack with an operational risk assessment requested, but no further risks have been identified."
128,C-05023,P2,Proceed with standard handling,synthetic gold; risk=0.56,SMB,Other,Legal,50k-250k,yes,Unknown,Yes,Yes,No,No data available,No,Yes,Yes,Yes,No data available,No,No,No,No data available,No data available,No data available,Yes,No,No,No,"The claim presents significant legal risks, including unclear governing law and a potential business interruption, with elements indicating possible jurisdictional complexity."
